,maps_taps,travel_taps,productivity_taps,personalisation_taps,tools_taps,communication_taps,news_magazines_taps,social_taps,shopping_taps,video_players_taps,finance_taps,weather_taps,photography_taps,entertainement_taps,sport_taps,lifestyle_taps,music_audio_taps,game_taps,education_taps,business_taps,health_fitness_taps,food_drink_taps,books_reference_taps,Median_Distances
0,2237,13633,32945,0,35668,331106,153404,247362,2893,16478,18820,3521,8012,4604,2673,7712,17214,113184,1687,1815,5136,695,11729,0.114
1,879,3468,8646,0,10164,137527,5316,79252,6100,8206,7222,626,2472,7743,3236,2413,3670,76294,7824,2993,1269,1506,392,0.515
2,296,1311,1188,0,1096,18205,679,4363,359,304,689,170,22,74,63,640,315,134,218,528,45,42,0,1.2335
3,1040,1250,8177,0,2049,41698,8246,2293,334,713,996,228,462,852,0,486,1461,1960,386,53,18,62,324,2.1559999999999997
4,1080,2121,12956,0,5709,54949,1797,11711,331,8105,584,69,498,2630,104,426,2792,2146,363,110,371,9,646,3.1555
5,5748,9635,161532,0,33762,221347,6961,171011,122,44184,3435,106,5879,565,3,1901,4854,62252,1388,416,1444,746,79,4.1015
6,1696,3397,15674,0,6636,50824,18793,8717,1269,3275,1378,1388,6827,1928,28,18,9702,416,252,37,634,405,34,4.943
7,707,1137,7095,0,833,10965,5007,5164,72,904,288,0,119,509,83,0,4506,4062,0,0,499,0,0,5.8985
8,245,1172,1803,0,1704,14675,7545,14328,120,414,223,69,320,1560,199,2226,2496,1940,72,464,3604,24,0,6.96
9,492,810,6247,0,855,9792,5312,4858,22,598,269,13,342,461,6,0,2625,890,8,142,423,3,0,7.94
10,286,646,2063,0,266,8313,3116,3504,128,564,256,9,571,658,231,0,2212,466,0,5,107,0,76,9.071000000000002
11,533,865,10755,0,773,79938,3170,83788,1659,5004,1030,215,469,278,0,629,3500,13014,82,158,302,209,0,10.558
12,348,531,828,2,328,11943,1995,10503,118,766,284,28,503,29,45,8,1663,2577,0,64,90,39,0,12.2165
13,1218,1628,57526,0,6328,42310,5011,48505,208,3418,1660,104,1220,344,186,587,1258,98796,442,301,1345,201,31,14.068000000000001
14,333,954,4297,0,2349,8454,6089,5076,83,800,481,9,3744,1165,348,1,1234,944,249,85,219,0,713,16.234
15,293,1113,1204,9,508,16995,1274,1485,461,711,135,699,793,250,11,2,853,59,46,1011,51,27,48,18.4925
16,294,793,2302,0,577,6133,111,1752,45,2015,157,26,63,186,1,0,644,0,0,72,144,0,0,20.8005
17,373,478,151,8,743,4332,87,1054,74,22,572,9,556,0,810,72,64,48,0,0,289,126,0,23.192500000000003
18,785,488,2055,0,726,4490,11,2505,907,207,511,77,2230,0,9,0,272,61,36,133,108,273,56,25.7705
19,187,91,117,0,141,4244,348,1505,0,1,177,5,34,0,0,0,996,512,0,0,7,0,43,28.6015
20,1125,1047,2041,0,944,8148,120,32,23,319,473,1902,847,0,249,0,84,947,14,0,0,0,10,31.1505
21,253,1844,81,0,231,913,411,820,0,84,5,84,0,40,0,0,132,507,106,3,0,0,93,33.322
22,132,861,181,0,132,560,57,861,0,60,27,5,34,0,0,0,67,946,0,0,6,31,0,35.2775
23,113,187,1067,0,21,2184,697,414,0,0,0,12,347,0,0,0,48,0,0,2,0,0,0,37.161
24,185,273,2914,0,176,7977,559,4649,0,250,145,61,30,0,192,0,78,427,0,3,22,88,0,39.687
25,303,206,3808,0,180,5277,1310,652,0,186,20,61,204,0,234,0,113,0,18,128,0,0,0,42.735
26,657,263,2349,0,1011,8324,135,4471,0,1654,160,11,262,1,2,0,598,34,0,28,5,0,0,45.8
27,3142,1280,1105,0,8474,113962,13409,1983,3383,7894,13,644,6214,79,240,0,281,3283,32,266,161,202,0,48.905
28,460,241,46,0,367,3610,13,278,11,507,563,0,140,72,582,0,313,114,336,0,17,0,0,52.245000000000005
29,83,97,5,0,22,1226,0,92,0,0,0,0,28,0,34,0,44,0,0,10,0,0,0,56.052
30,10,115,49,0,0,1092,0,846,0,0,81,0,6,0,0,0,3,7,0,20,3,0,0,60.0225
31,244,277,1030,0,11,5944,238,2055,0,3,11,113,113,0,0,0,12,79,0,2,15,2,0,64.148
32,4,76,965,0,61,3235,3,1758,7,33,27,64,385,62,0,0,1,132,0,51,433,0,0,68.037
33,192,109,269,0,178,2472,266,7,0,25,22,7,124,0,0,0,33,0,0,0,0,0,0,71.67750000000001
34,0,29,10,0,14,1237,0,25,0,0,0,0,135,0,11,0,8,0,24,0,2,0,0,75.93700000000001
35,339,192,631,0,76,6249,100,5082,0,345,33,50,257,181,0,54,137,12108,0,142,121,129,55,80.624
36,132,146,25,0,120,3174,30,1567,0,0,0,20,2260,8,0,0,117,1949,22,0,0,36,0,84.76599999999999
37,40,49,3,0,636,2909,461,238,0,0,3,7,7,0,0,0,169,0,0,0,1,0,3,87.852
